filename,image_path,gt_mask_path,pred_mask_path,dice,iou,precision,recall,specificity,tp,fp,fn,tn,gt_foreground_ratio,pred_foreground_ratio
cju0s690hkp960855tjuaqvv0.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0s690hkp960855tjuaqvv0.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0s690hkp960855tjuaqvv0.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0s690hkp960855tjuaqvv0.png,0.9683885890520059,0.9387144992539245,0.9667912909618036,0.9699911738753312,0.9987350467446313,4396,151,136,119221,0.036576704545454544,0.036697766012396695
cju0sr5ghl0nd08789uzf1raf.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0sr5ghl0nd08789uzf1raf.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0sr5ghl0nd08789uzf1raf.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0sr5ghl0nd08789uzf1raf.png,0.8687616511321737,0.7679740100768964,0.7766033423807237,0.9857375959389271,0.9562953510251252,16311,4692,236,102665,0.1335469395661157,0.1695102660123967
cju0sxqiclckk08551ycbwhno.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0sxqiclckk08551ycbwhno.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0sxqiclckk08551ycbwhno.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0sxqiclckk08551ycbwhno.png,0.629957237422354,0.45980844878177,0.4608725465032924,0.9950037009623426,0.9469198312236735,5377,6290,27,112210,0.043614411157024795,0.09416160898760331
cju0t4oil7vzk099370nun5h9.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0t4oil7vzk099370nun5h9.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0t4oil7vzk099370nun5h9.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0t4oil7vzk099370nun5h9.png,0.985295160642113,0.9710165187205074,0.9810738918575809,0.9895529121257698,0.9901695868536685,41677,804,440,80983,0.3399163868801653,0.3428541451446281
cju0tl3uz8blh0993wxvn7ly3.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0tl3uz8blh0993wxvn7ly3.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0tl3uz8blh0993wxvn7ly3.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0tl3uz8blh0993wxvn7ly3.png,0.9383259911939555,0.8838174274019617,0.9000000000140845,0.9800613496963096,0.9994239444390359,639,71,13,123181,0.005262138429752066,0.005730242768595042
cju0u2g7pmnux0801vkk47ivj.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0u2g7pmnux0801vkk47ivj.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0u2g7pmnux0801vkk47ivj.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0u2g7pmnux0801vkk47ivj.png,0.9874948240165804,0.9752985440864407,0.9878766120792359,0.9871133309418386,0.9949923002338504,35772,439,467,87226,0.2924764333677686,0.2922504519628099
cju0u82z3cuma0835wlxrnrjv.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0u82z3cuma0835wlxrnrjv.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0u82z3cuma0835wlxrnrjv.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0u82z3cuma0835wlxrnrjv.png,0.9122780619923078,0.83870521510627,0.8455123556650708,0.9904920603803486,0.940631096057857,30315,5539,291,87759,0.24701381714876033,0.28936918904958675
cju0ue769mxii08019zqgdbxn.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0ue769mxii08019zqgdbxn.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0ue769mxii08019zqgdbxn.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0ue769mxii08019zqgdbxn.png,0.9547559093497299,0.9134286602438074,0.9189992181404378,0.993407707910862,0.995609723022684,5877,518,39,117470,0.04774664256198347,0.05161253873966942
cju0vtox5ain6099360pu62rp.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju0vtox5ain6099360pu62rp.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju0vtox5ain6099360pu62rp.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju0vtox5ain6099360pu62rp.png,0.786770483607495,0.648492699014973,0.6507917749982179,0.9945819035579812,0.9750352716551277,5507,2955,30,115412,0.04468782283057851,0.06829480888429752
cju13cgqmnhwn0988yrainhcp.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/images/cju13cgqmnhwn0988yrainhcp.jpg,/kaggle/input/datasets/okeydokey0805/kvasir-semantic-880-120/Kvasir_Semantic_880_120/val/masks_binary/cju13cgqmnhwn0988yrainhcp.png,/kaggle/working/runs/pranet_res2net50_352_seed0_100e/pred_masks/cju13cgqmnhwn0988yrainhcp.png,0.9840766392647289,0.9686524370820729,0.9805856553148827,0.9875925685332754,0.9972260621140934,15203,301,191,108209,0.12424134814049587,0.12512913223140495
